Time(s),Delta(s),CPU(%),MEM(MB),MEM(%)
1,0,0.9,3182.0,8.0
2,3,1.2,3175.0,7.9
3,5,0.9,3185.0,8.0
4,7,1.1,3186.0,8.0
5,9,1.2,3162.0,7.9
6,11,0.8,3165.0,7.9
7,13,0.2,3147.0,7.9
8,15,1.1,3174.0,7.9
9,17,1.0,3169.0,7.9
10,19,3.6,3170.0,7.9
11,21,3.2,3168.0,7.9
12,23,0.3,3176.0,8.0
13,25,1.6,3176.0,8.0
14,27,0.4,3164.0,7.9
15,29,0.6,3176.0,8.0
16,31,1.2,3159.0,7.9
17,33,0.7,3172.0,7.9
18,35,1.1,3175.0,7.9
19,37,0.5,3167.0,7.9
20,39,1.1,3152.0,7.9
21,41,0.6,3159.0,7.9
22,43,1.0,3167.0,7.9
23,45,1.0,3153.0,7.9
24,47,0.4,3165.0,7.9
25,49,0.9,3165.0,7.9
26,51,0.4,3156.0,7.9
27,53,0.3,3177.0,8.0
28,55,0.9,3178.0,8.0
29,57,1.0,3157.0,7.9
30,59,0.8,3157.0,7.9
31,61,0.7,3155.0,7.9
32,63,0.5,3172.0,7.9
33,65,0.5,3164.0,7.9
34,67,0.9,3170.0,7.9
35,70,0.8,3160.0,7.9
36,72,0.5,3172.0,7.9
37,74,0.2,3186.0,8.0
38,76,0.5,3169.0,7.9
39,78,0.6,3170.0,7.9
40,80,0.8,3171.0,7.9
41,82,0.4,3162.0,7.9
42,84,0.3,3172.0,7.9
43,86,0.9,3151.0,7.9
44,88,0.2,3158.0,7.9
45,90,1.1,3170.0,7.9
46,92,0.3,3162.0,7.9
47,94,1.5,3178.0,8.0
48,96,1.2,3167.0,7.9
49,98,0.3,3160.0,7.9
50,100,0.8,3171.0,7.9
51,102,0.9,3166.0,7.9
52,104,0.4,3184.0,8.0
53,106,0.4,3164.0,7.9
54,108,0.2,3162.0,7.9
55,110,1.3,3159.0,7.9
56,112,0.3,3167.0,7.9
57,114,1.0,3167.0,7.9
58,116,0.5,3177.0,8.0
59,118,1.5,3164.0,7.9
60,120,0.8,3160.0,7.9
