Request,Time(s),Delta(s),HTTP Status,CPU(%),MEM(MB),MEM(%)
3,0.155899,0,201,20.0,3259.0,8.2
2,0.253366,0,201,19.5,3255.0,8.1
4,0.265499,0,201,19.3,3251.0,8.1
9,0.308604,0,201,18.6,3252.0,8.1
22,0.308715,0,201,18.6,3244.0,8.1
12,0.320704,0,201,18.5,3245.0,8.1
23,0.348449,0,201,17.9,3245.0,8.1
19,0.439243,0,201,16.0,3245.0,8.1
44,0.449625,0,201,15.8,3245.0,8.1
10,0.512385,0,201,15.2,3245.0,8.1
33,0.504150,0,201,15.2,3245.0,8.1
45,0.525522,0,201,14.9,3238.0,8.1
40,0.527194,0,201,14.9,3238.0,8.1
26,0.532909,0,201,14.8,3238.0,8.1
16,0.561406,0,201,14.5,3238.0,8.1
25,0.554116,0,201,14.5,3238.0,8.1
20,0.572817,0,201,14.8,3238.0,8.1
32,0.593425,0,201,15.2,3239.0,8.1
5,0.600392,0,201,15.8,3239.0,8.1
34,0.638499,0,201,17.3,3230.0,8.1
18,0.639621,0,201,17.3,3230.0,8.1
35,0.652358,0,201,17.3,3223.0,8.1
46,0.652977,0,201,17.3,3223.0,8.1
42,0.679081,0,201,17.2,3223.0,8.1
47,0.686815,0,201,17.3,3224.0,8.1
21,0.705301,0,201,17.4,3224.0,8.1
13,0.716589,0,201,17.2,3224.0,8.1
29,0.726899,0,201,17.1,3224.0,8.1
48,0.738114,0,201,17.1,3224.0,8.1
27,0.758887,0,201,16.8,3224.0,8.1
49,0.760757,0,201,16.6,3224.0,8.1
7,0.809617,1,201,16.4,3224.0,8.1
30,0.771715,1,201,16.4,3224.0,8.1
43,0.780977,1,201,16.5,3224.0,8.1
8,0.827772,1,201,16.5,3224.0,8.1
1,0.834693,1,201,16.5,3224.0,8.1
6,0.834785,1,201,16.5,3224.0,8.1
36,0.821259,1,201,16.8,3216.0,8.1
14,0.822107,1,201,16.8,3216.0,8.1
15,0.825928,1,201,17.1,3216.0,8.1
28,0.847084,1,201,17.4,3216.0,8.1
11,0.843746,1,201,17.4,3216.0,8.1
50,0.840838,1,201,17.5,3216.0,8.1
38,0.843947,1,201,17.4,3217.0,8.1
24,0.855836,1,201,17.4,3217.0,8.1
17,0.863774,1,201,17.4,3217.0,8.1
39,0.869986,1,201,17.5,3217.0,8.1
41,0.889725,1,201,16.9,3217.0,8.1
37,0.894310,1,201,17.0,3217.0,8.1
31,0.896131,1,201,17.0,3217.0,8.1
