Request,Time(s),Delta(s),HTTP Status,CPU(%),MEM(MB),MEM(%)
1,0.118274,0,201,1.2,3150.0,7.9
2,0.093929,2,201,3.1,3159.0,7.9
3,0.102286,3,201,1.7,3161.0,7.9
4,0.156487,4,201,1.4,3168.0,7.9
5,0.101731,5,201,3.2,3150.0,7.9
6,0.140986,6,201,0.9,3155.0,7.9
7,0.112768,7,201,1.7,3156.0,7.9
8,0.102553,8,201,0.8,3161.0,7.9
9,0.104326,10,201,0.4,3149.0,7.9
10,0.106079,11,201,4.2,3180.0,8.0
11,0.151453,12,201,0.8,3183.0,8.0
12,0.101184,13,201,1.2,3178.0,8.0
13,0.095555,14,201,0.3,3180.0,8.0
14,0.099364,15,201,2.9,3172.0,7.9
15,0.098967,16,201,0.7,3176.0,8.0
16,0.108485,18,201,2.3,3179.0,8.0
17,0.093078,19,201,1.3,3162.0,7.9
18,0.147020,20,201,0.5,3165.0,7.9
19,0.095871,21,201,4.9,3178.0,8.0
20,0.131532,22,201,1.2,3181.0,8.0
21,0.115980,23,201,1.7,3188.0,8.0
22,0.124283,25,201,0.2,3189.0,8.0
23,0.102079,26,201,2.9,3176.0,8.0
24,0.140636,27,201,2.1,3168.0,7.9
25,0.130609,28,201,0.7,3170.0,7.9
26,0.093821,29,201,1.2,3158.0,7.9
27,0.148083,30,201,0.6,3159.0,7.9
28,0.102786,32,201,6.7,3191.0,8.0
29,0.105152,33,201,1.1,3194.0,8.0
30,0.118876,34,201,2.0,3180.0,8.0
31,0.099882,35,201,2.1,3172.0,7.9
32,0.142404,36,201,0.8,3175.0,7.9
33,0.107531,37,201,1.8,3172.0,7.9
34,0.157357,39,201,0.8,3162.0,7.9
35,0.120101,40,201,0.8,3164.0,7.9
36,0.101922,41,201,0.8,3169.0,7.9
37,0.112629,42,201,4.1,3176.0,8.0
38,0.115193,43,201,1.2,3175.0,7.9
39,0.104284,44,201,0.4,3189.0,8.0
40,0.109958,45,201,3.0,3181.0,8.0
41,0.145383,47,201,0.7,3184.0,8.0
42,0.110920,48,201,1.5,3166.0,7.9
43,0.111353,49,201,0.7,3169.0,7.9
44,0.099655,50,201,3.8,3160.0,7.9
45,0.153481,51,201,4.7,3171.0,7.9
46,0.135368,52,201,1.6,3178.0,8.0
47,0.111362,53,201,1.2,3161.0,7.9
48,0.150251,55,201,0.4,3157.0,7.9
49,0.102010,56,201,3.9,3157.0,7.9
50,0.102656,57,201,1.7,3159.0,7.9
51,0.106673,58,201,1.3,3171.0,7.9
52,0.144158,59,201,0.9,3148.0,7.9
53,0.149227,61,201,1.0,3144.0,7.9
54,0.139022,62,201,4.9,3174.0,7.9
55,0.108647,63,201,0.7,3168.0,7.9
56,0.090562,64,201,1.8,3157.0,7.9
57,0.117868,65,201,0.5,3152.0,7.9
58,0.107317,66,201,1.8,3160.0,7.9
59,0.083045,67,201,1.5,3174.0,7.9
60,0.151286,69,201,0.5,3176.0,8.0
61,0.101549,70,201,1.2,3169.0,7.9
62,0.094798,71,201,0.9,3164.0,7.9
63,0.103240,72,201,4.4,3164.0,7.9
64,0.114775,73,201,0.8,3167.0,7.9
65,0.103705,74,201,1.2,3157.0,7.9
66,0.092808,75,201,1.8,3142.0,7.9
67,0.127499,77,201,0.2,3151.0,7.9
68,0.099258,78,201,1.6,3160.0,7.9
69,0.139270,79,201,0.5,3156.0,7.9
70,0.133713,80,201,1.2,3147.0,7.9
71,0.108174,81,201,1.0,3152.0,7.9
72,0.102188,82,201,5.7,3175.0,7.9
73,0.104585,83,201,1.2,3174.0,7.9
74,0.165036,85,201,0.3,3169.0,7.9
75,0.117563,86,201,3.5,3159.0,7.9
76,0.146621,87,201,1.7,3164.0,7.9
77,0.133054,88,201,1.5,3169.0,7.9
78,0.098760,89,201,0.2,3170.0,7.9
79,0.097425,91,201,2.0,3155.0,7.9
80,0.142851,92,201,9.6,3173.0,7.9
81,0.145980,93,201,1.8,3168.0,7.9
82,0.102160,94,201,1.8,3182.0,8.0
83,0.102587,95,201,0.7,3170.0,7.9
84,0.093658,96,201,2.5,3157.0,7.9
85,0.094031,97,201,0.8,3154.0,7.9
86,0.092730,99,201,1.3,3144.0,7.9
87,0.093942,100,201,1.0,3154.0,7.9
88,0.134284,101,201,3.4,3141.0,7.9
89,0.148960,102,201,4.8,3159.0,7.9
90,0.158604,103,201,0.4,3162.0,7.9
91,0.145236,104,201,1.2,3159.0,7.9
92,0.109283,106,201,1.8,3160.0,7.9
93,0.128675,107,201,1.8,3149.0,7.9
94,0.100616,108,201,1.4,3165.0,7.9
95,0.140012,109,201,0.8,3160.0,7.9
96,0.131574,110,201,0.9,3155.0,7.9
97,0.083391,111,201,2.1,3155.0,7.9
98,0.106034,112,201,5.1,3172.0,7.9
99,0.099691,114,201,0.8,3160.0,7.9
100,0.112382,115,201,2.6,3147.0,7.9
