Time(s),Delta(s),CPU(%),MEM(MB),MEM(%)
1,0,0.4,3186.0,8.0
2,2,1.0,3188.0,8.0
3,4,2.4,3184.0,8.0
4,6,0.4,3185.0,8.0
5,8,0.2,3173.0,7.9
6,10,0.9,3172.0,7.9
7,12,1.8,3195.0,8.0
8,14,2.1,3185.0,8.0
9,16,0.2,3194.0,8.0
10,19,0.4,3187.0,8.0
11,21,0.9,3162.0,7.9
12,23,3.1,3198.0,8.0
13,25,2.7,3198.0,8.0
14,27,0.8,3191.0,8.0
15,29,0.2,3189.0,8.0
16,31,0.7,3177.0,8.0
17,33,3.3,3187.0,8.0
18,35,1.9,3174.0,7.9
19,37,0.2,3178.0,8.0
20,39,0.2,3156.0,7.9
21,41,0.5,3163.0,7.9
22,43,3.6,3189.0,8.0
23,45,2.6,3175.0,7.9
24,47,0.4,3172.0,7.9
25,49,1.1,3156.0,7.9
26,51,0.4,3154.0,7.9
27,53,3.1,3195.0,8.0
28,55,1.8,3193.0,8.0
29,57,0.4,3171.0,7.9
30,59,0.8,3181.0,8.0
31,61,0.4,3163.0,7.9
32,63,3.1,3198.0,8.0
33,65,1.8,3181.0,8.0
34,67,0.3,3164.0,7.9
35,69,0.6,3165.0,7.9
36,71,2.7,3170.0,7.9
37,73,3.7,3178.0,8.0
38,75,2.0,3166.0,7.9
39,77,0.8,3178.0,8.0
40,79,0.8,3166.0,7.9
41,81,0.5,3184.0,8.0
42,84,5.1,3193.0,8.0
43,86,1.8,3188.0,8.0
44,88,0.2,3183.0,8.0
45,90,1.5,3185.0,8.0
46,92,0.5,3173.0,7.9
47,94,2.8,3190.0,8.0
48,96,1.0,3181.0,8.0
49,98,0.1,3175.0,7.9
50,100,1.3,3169.0,7.9
51,102,0.5,3162.0,7.9
52,104,4.0,3195.0,8.0
53,106,1.1,3193.0,8.0
54,108,0.5,3184.0,8.0
55,110,0.8,3177.0,8.0
56,112,0.5,3185.0,8.0
57,114,3.8,3192.0,8.0
58,116,1.1,3177.0,8.0
59,118,0.6,3168.0,7.9
60,120,0.5,3171.0,7.9
