Request,Time(s),Delta(s),HTTP Status,CPU(%),MEM(MB),MEM(%)
1,1.366196,1,201,0.5,3174.0,7.9
2,1.356318,4,201,1.2,3168.0,7.9
3,1.335834,6,201,0.2,3168.0,7.9
4,1.360193,9,201,1.2,3181.0,8.0
5,1.373037,11,201,1.3,3200.0,8.0
6,1.355984,13,201,1.8,3178.0,8.0
7,1.345894,16,201,0.5,3193.0,8.0
8,1.348004,18,201,0.9,3169.0,7.9
9,1.337353,21,201,2.0,3194.0,8.0
10,1.377534,23,201,2.7,3197.0,8.0
11,1.380537,25,201,1.4,3158.0,7.9
12,1.340681,28,201,1.1,3169.0,7.9
13,1.383833,30,201,0.8,3195.0,8.0
14,1.333270,32,201,3.4,3187.0,8.0
15,1.375815,35,201,1.1,3162.0,7.9
16,1.328202,37,201,1.8,3168.0,7.9
17,1.335936,40,201,0.2,3169.0,7.9
18,1.333737,42,201,3.2,3188.0,8.0
19,1.394764,44,201,0.9,3176.0,8.0
20,1.374542,47,201,1.4,3184.0,8.0
21,1.378640,49,201,1.3,3170.0,7.9
22,1.343383,52,201,1.8,3157.0,7.9
23,1.453130,54,201,1.6,3171.0,7.9
24,1.349546,56,201,0.3,3179.0,8.0
25,1.385405,59,201,1.3,3149.0,7.9
26,1.389242,61,201,0.9,3166.0,7.9
27,1.386953,64,201,2.2,3175.0,7.9
28,1.373230,66,201,1.0,3171.0,7.9
29,1.362344,69,201,0.4,3176.0,8.0
30,1.336535,71,201,5.2,3178.0,8.0
31,1.354088,73,201,3.5,3170.0,7.9
32,1.370293,76,201,1.7,3157.0,7.9
33,1.339998,78,201,0.8,3151.0,7.9
34,1.405023,80,201,0.8,3161.0,7.9
35,1.393094,83,201,4.3,3193.0,8.0
36,1.379122,85,201,1.8,3159.0,7.9
37,1.394062,88,201,1.4,3164.0,7.9
38,1.330742,90,201,0.2,3159.0,7.9
39,1.324124,92,201,2.5,3176.0,8.0
40,1.365510,95,201,0.1,3176.0,8.0
41,1.339550,97,201,1.8,3193.0,8.0
42,1.375234,100,201,0.6,3186.0,8.0
43,1.335240,102,201,2.2,3179.0,8.0
44,1.409182,104,201,1.0,3189.0,8.0
45,1.333989,107,201,0.8,3194.0,8.0
46,1.369392,109,201,0.8,3169.0,7.9
47,1.378884,112,201,1.9,3179.0,8.0
48,1.403453,114,201,2.5,3207.0,8.0
49,1.348009,116,201,0.6,3201.0,8.0
50,1.351283,119,201,0.8,3185.0,8.0
51,1.328962,121,201,0.6,3181.0,8.0
52,1.360528,124,201,3.9,3198.0,8.0
53,1.377792,126,201,1.3,3195.0,8.0
54,1.342071,128,201,1.6,3208.0,8.0
55,1.333706,131,201,1.0,3198.0,8.0
56,1.411321,133,201,3.9,3202.0,8.0
57,1.392760,136,201,1.7,3205.0,8.0
58,1.341244,138,201,1.8,3196.0,8.0
59,1.327043,140,201,1.4,3209.0,8.0
60,1.400353,143,201,1.6,3197.0,8.0
61,1.402924,145,201,0.3,3169.0,7.9
62,1.375257,148,201,1.3,3188.0,8.0
63,1.331099,150,201,1.0,3176.0,8.0
64,1.332293,152,201,1.3,3179.0,8.0
65,1.357442,155,201,1.3,3191.0,8.0
66,1.371580,157,201,1.3,3191.0,8.0
67,1.352521,159,201,0.2,3183.0,8.0
68,1.340222,162,201,1.9,3193.0,8.0
69,1.443522,164,201,1.7,3190.0,8.0
70,1.387456,167,201,0.6,3186.0,8.0
71,1.382984,169,201,0.5,3182.0,8.0
72,1.375849,172,201,0.6,3149.0,7.9
73,1.356836,174,201,3.5,3176.0,8.0
74,1.335891,176,201,1.3,3154.0,7.9
75,1.333487,179,201,1.2,3155.0,7.9
76,1.391194,181,201,0.6,3163.0,7.9
77,1.342879,184,201,3.4,3183.0,8.0
78,1.384049,186,201,1.3,3176.0,8.0
79,1.386430,188,201,1.8,3170.0,7.9
80,1.326920,191,201,1.2,3162.0,7.9
81,1.344952,193,201,1.2,3170.0,7.9
82,1.365022,196,201,0.5,3169.0,7.9
83,1.414034,198,201,1.1,3170.0,7.9
84,1.375747,200,201,1.3,3171.0,7.9
85,1.345176,203,201,1.8,3178.0,8.0
86,1.389481,205,201,0.9,3169.0,7.9
87,1.356310,208,201,0.9,3170.0,7.9
88,1.338847,210,201,2.9,3171.0,7.9
89,1.346443,212,201,1.5,3194.0,8.0
90,1.372787,215,201,2.8,3170.0,7.9
91,1.356295,217,201,2.4,3164.0,7.9
92,1.347638,220,201,0.5,3183.0,8.0
93,1.386456,222,201,0.9,3166.0,7.9
94,1.348113,224,201,3.4,3151.0,7.9
95,1.358883,227,201,1.4,3159.0,7.9
96,1.340948,229,201,1.1,3169.0,7.9
97,1.322017,231,201,0.6,3188.0,8.0
98,1.353383,234,201,0.5,3176.0,8.0
99,1.363253,236,201,0.3,3178.0,8.0
100,1.352443,239,201,1.3,3190.0,8.0
