Request,Time(s),Delta(s),HTTP Status,CPU(%),MEM(MB),MEM(%)
2,0.744776,1,200,15.2,617.0,33.3
23,0.715223,1,200,15.6,617.0,33.3
25,0.705153,1,200,15.2,618.0,33.4
17,1.066098,2,200,12.1,615.0,33.2
36,1.194037,2,200,17.2,611.0,33.0
14,1.191668,2,200,17.3,611.0,33.0
30,1.192728,2,200,18.2,611.0,33.0
35,1.245518,2,200,18.3,606.0,32.7
16,1.226761,2,200,18.8,606.0,32.7
9,1.292404,2,200,19.6,604.0,32.6
24,1.365297,2,200,20.0,604.0,32.6
28,1.493185,2,200,23.0,602.0,32.5
40,1.628071,2,200,24.9,597.0,32.3
10,1.608674,2,200,24.9,597.0,32.3
22,1.650343,2,200,26.4,594.0,32.1
49,1.717923,2,200,26.0,595.0,32.1
29,1.997523,3,200,27.1,589.0,31.8
44,2.044808,3,200,24.8,588.0,31.8
8,2.090590,3,200,24.0,588.0,31.8
13,2.080638,3,200,23.7,588.0,31.8
15,2.107352,3,200,23.7,588.0,31.8
20,2.154300,3,200,22.7,584.0,31.6
21,2.181500,3,200,21.3,584.0,31.6
19,2.250089,3,200,20.0,582.0,31.4
39,2.342345,3,200,20.2,581.0,31.4
26,2.512693,3,200,19.4,581.0,31.4
42,2.345757,3,200,19.9,581.0,31.4
32,2.375382,3,200,19.9,581.0,31.4
1,2.367020,3,200,19.9,581.0,31.4
6,2.453850,3,200,19.4,576.0,31.1
11,2.479277,3,200,19.5,575.0,31.1
5,2.455879,3,200,19.0,575.0,31.1
12,2.456878,3,200,19.0,576.0,31.1
43,2.543124,3,200,19.1,571.0,30.8
18,2.542363,3,200,17.6,570.0,30.8
4,2.548366,3,200,17.5,570.0,30.8
31,2.615412,3,200,17.5,568.0,30.7
48,2.641818,3,200,17.3,567.0,30.6
27,2.663411,3,200,17.8,567.0,30.6
46,2.729903,3,200,17.8,564.0,30.5
7,2.724049,3,200,15.3,562.0,30.4
47,2.728682,3,200,15.3,562.0,30.4
38,2.738124,3,200,15.3,562.0,30.4
50,2.729397,3,200,15.3,562.0,30.4
33,2.730710,3,200,15.3,563.0,30.4
41,2.735792,3,200,15.3,563.0,30.4
3,2.725001,3,200,15.3,563.0,30.4
34,2.871501,4,200,17.4,554.0,29.9
45,2.870420,4,200,17.4,555.0,30.0
37,2.872199,4,200,17.4,554.0,29.9
