Request,Time(s),Delta(s),HTTP Status,CPU(%),MEM(MB),MEM(%)
4,0.162232,0,201,25.7,3383.0,8.5
3,0.188933,0,201,25.5,3385.0,8.5
7,0.197923,0,201,25.1,3385.0,8.5
8,0.266469,0,201,25.1,3390.0,8.5
1,0.291199,0,201,26.3,3396.0,8.5
2,0.291893,0,201,26.3,3396.0,8.5
20,0.380761,0,201,27.9,3367.0,8.4
16,0.386741,0,201,27.9,3367.0,8.4
31,0.436069,0,201,28.0,3361.0,8.4
6,0.433019,0,201,28.0,3361.0,8.4
27,0.424259,0,201,28.0,3361.0,8.4
22,0.428636,0,201,28.0,3361.0,8.4
23,0.492933,0,201,28.6,3363.0,8.4
30,0.491553,0,201,28.5,3363.0,8.4
54,0.491397,0,201,28.5,3363.0,8.4
25,0.552896,0,201,30.8,3364.0,8.4
39,0.588185,0,201,31.9,3364.0,8.4
41,0.640621,0,201,32.0,3357.0,8.4
17,0.656532,0,201,32.0,3357.0,8.4
56,0.710468,0,201,32.3,3357.0,8.4
24,0.739123,0,201,33.0,3357.0,8.4
33,0.738934,0,201,33.0,3357.0,8.4
28,0.787253,0,201,34.2,3357.0,8.4
29,0.803790,0,201,34.5,3357.0,8.4
9,0.857226,1,201,35.3,3357.0,8.4
11,0.859269,1,201,35.3,3357.0,8.4
21,0.836898,1,201,35.4,3357.0,8.4
18,0.897599,1,201,36.2,3357.0,8.4
47,0.933394,1,201,37.2,3333.0,8.3
5,1.005815,1,201,38.3,3333.0,8.3
10,1.021341,1,201,39.0,3333.0,8.3
51,0.991241,1,201,39.3,3333.0,8.3
49,1.026255,1,201,39.8,3333.0,8.3
84,1.005621,1,201,39.8,3333.0,8.3
64,1.015107,1,201,40.2,3334.0,8.3
45,1.045258,1,201,40.7,3334.0,8.3
78,1.057514,1,201,41.0,3334.0,8.3
43,1.053787,1,201,41.3,3334.0,8.3
69,1.062768,1,201,41.7,3334.0,8.3
70,1.083789,1,201,42.1,3334.0,8.3
42,1.105437,1,201,42.9,3326.0,8.3
14,1.106372,1,201,42.9,3326.0,8.3
37,1.118116,1,201,43.4,3319.0,8.3
52,1.120958,1,201,43.8,3319.0,8.3
80,1.123819,1,201,44.0,3319.0,8.3
72,1.127293,1,201,44.2,3319.0,8.3
83,1.132974,1,201,44.2,3319.0,8.3
15,1.129004,1,201,44.2,3319.0,8.3
63,1.145764,1,201,44.0,3319.0,8.3
26,1.188223,1,201,43.6,3310.0,8.3
44,1.180712,1,201,43.6,3310.0,8.3
38,1.190836,1,201,43.3,3310.0,8.3
73,1.196193,1,201,43.3,3310.0,8.3
92,1.207005,1,201,43.1,3310.0,8.3
36,1.236065,1,201,41.6,3310.0,8.3
12,1.244462,1,201,41.3,3310.0,8.3
59,1.260684,1,201,40.4,3310.0,8.3
77,1.265223,1,201,40.6,3310.0,8.3
32,1.301316,1,201,40.5,3310.0,8.3
65,1.291533,1,201,40.4,3310.0,8.3
61,1.300109,1,201,40.2,3310.0,8.3
66,1.295402,1,201,40.2,3310.0,8.3
48,1.300959,1,201,40.2,3310.0,8.3
95,1.317982,1,201,39.9,3310.0,8.3
19,1.349135,1,201,39.4,3310.0,8.3
57,1.347803,1,201,39.4,3310.0,8.3
60,1.363409,1,201,39.2,3302.0,8.3
88,1.372430,1,201,38.8,3302.0,8.3
82,1.376243,1,201,38.5,3302.0,8.3
68,1.402589,1,201,38.4,3286.0,8.2
89,1.403992,1,201,38.4,3286.0,8.2
98,1.426370,1,201,38.4,3286.0,8.2
34,1.433675,1,201,37.1,3287.0,8.2
96,1.436245,1,201,36.9,3287.0,8.2
76,1.498728,1,201,35.0,3288.0,8.2
93,1.533639,1,201,34.5,3287.0,8.2
100,1.558706,1,201,33.2,3280.0,8.2
86,1.674403,1,201,30.3,3280.0,8.2
35,1.726723,1,201,28.1,3280.0,8.2
53,1.757039,1,201,26.8,3272.0,8.2
13,1.887379,2,201,22.5,3274.0,8.2
75,1.890633,2,201,22.2,3274.0,8.2
81,1.934278,2,201,21.2,3274.0,8.2
90,1.934318,2,201,20.7,3274.0,8.2
46,2.058968,2,201,14.6,3274.0,8.2
99,2.058403,2,201,14.6,3274.0,8.2
71,2.106413,2,201,14.2,3274.0,8.2
91,2.111533,2,201,14.1,3274.0,8.2
74,2.122989,2,201,13.9,3274.0,8.2
94,2.141987,2,201,14.2,3274.0,8.2
50,2.158725,2,201,14.4,3258.0,8.2
55,2.164401,2,201,14.4,3259.0,8.2
40,2.187577,2,201,14.0,3260.0,8.2
67,2.205820,2,201,13.7,3261.0,8.2
97,2.200023,2,201,13.5,3254.0,8.1
79,2.216719,2,201,13.4,3245.0,8.1
87,2.215406,2,201,13.4,3245.0,8.1
85,2.225048,2,201,13.6,3242.0,8.1
58,2.236470,2,201,14.1,3234.0,8.1
62,2.240715,2,201,14.0,3236.0,8.1
