Request,Time(s),Delta(s),HTTP Status,CPU(%),MEM(MB),MEM(%)
23,11.939012,12,500,20.5,3350.0,8.4
56,11.938171,12,500,20.5,3350.0,8.4
40,11.935123,12,500,20.4,3350.0,8.4
35,11.938671,12,500,20.5,3351.0,8.4
2,11.978432,12,500,20.2,3351.0,8.4
39,11.945856,12,500,19.6,3351.0,8.4
10,11.990561,12,500,19.5,3351.0,8.4
60,11.945518,12,500,19.1,3351.0,8.4
45,11.953404,12,500,18.7,3351.0,8.4
3,12.007491,12,500,17.0,3351.0,8.4
15,12.000926,12,500,17.0,3351.0,8.4
72,11.971938,12,500,16.1,3351.0,8.4
87,11.972233,12,500,15.7,3351.0,8.4
25,12.036969,12,500,15.1,3351.0,8.4
49,11.983700,12,500,15.1,3351.0,8.4
19,12.016359,12,500,14.9,3351.0,8.4
74,11.979185,12,500,14.5,3351.0,8.4
12,11.993531,12,500,14.5,3351.0,8.4
71,11.982350,12,500,14.5,3351.0,8.4
29,12.003853,12,500,14.5,3343.0,8.4
46,11.979249,12,500,14.1,3343.0,8.4
55,12.004145,12,500,14.0,3335.0,8.4
51,11.981447,12,500,14.0,3336.0,8.4
43,12.009923,12,500,14.0,3336.0,8.4
13,12.013443,12,500,14.1,3336.0,8.4
20,11.976192,12,500,14.1,3336.0,8.4
4,12.076818,12,500,14.1,3336.0,8.4
47,11.977054,12,500,13.8,3336.0,8.4
8,14.572568,15,500,9.8,3314.0,8.3
9,14.573420,15,500,9.7,3314.0,8.3
6,14.578352,15,500,9.6,3306.0,8.3
5,14.583426,15,500,9.6,3307.0,8.3
1,14.586855,15,500,9.5,3307.0,8.3
95,27.991388,28,500,16.5,3299.0,8.3
53,28.001376,28,500,16.2,3299.0,8.3
81,28.012566,28,500,15.8,3299.0,8.3
94,28.011299,28,500,15.5,3299.0,8.3
28,28.018717,28,500,15.5,3299.0,8.3
33,28.074958,28,500,14.5,3300.0,8.3
91,28.017315,28,500,14.5,3300.0,8.3
32,28.098521,28,500,14.5,3292.0,8.2
24,28.096917,28,500,14.3,3293.0,8.2
41,28.108476,28,500,14.3,3293.0,8.2
73,28.053128,28,500,14.3,3293.0,8.2
69,28.041425,28,500,14.2,3285.0,8.2
66,28.045923,28,500,13.9,3285.0,8.2
38,28.065008,28,500,13.5,3285.0,8.2
82,28.061687,28,500,13.5,3285.0,8.2
36,28.119233,28,500,13.2,3285.0,8.2
63,28.114564,28,500,12.9,3285.0,8.2
7,28.153015,28,500,12.3,3285.0,8.2
62,28.132871,28,500,12.3,3285.0,8.2
17,28.145819,28,500,12.0,3285.0,8.2
21,28.153812,28,500,12.0,3285.0,8.2
59,28.148504,28,500,11.9,3285.0,8.2
42,28.134206,28,500,11.9,3285.0,8.2
27,28.157004,28,500,11.8,3286.0,8.2
50,28.150808,28,500,11.8,3286.0,8.2
11,28.183837,28,500,11.7,3286.0,8.2
37,28.154031,28,500,11.7,3286.0,8.2
99,28.134448,28,500,11.7,3286.0,8.2
31,28.163164,28,500,11.7,3286.0,8.2
22,28.141987,28,500,11.6,3286.0,8.2
86,38.548193,39,500,18.4,3247.0,8.1
30,38.554423,39,500,18.4,3247.0,8.1
34,38.571967,39,500,18.0,3248.0,8.1
68,38.580730,39,500,13.4,3249.0,8.1
76,38.587238,39,500,12.8,3249.0,8.1
80,38.603591,39,500,12.6,3249.0,8.1
26,38.584285,39,500,12.6,3249.0,8.1
77,38.577656,39,500,12.4,3249.0,8.1
18,38.604396,39,500,12.3,3249.0,8.1
85,38.590152,39,500,12.1,3249.0,8.1
65,38.605602,39,500,12.0,3249.0,8.1
52,38.572628,39,500,11.7,3249.0,8.1
84,38.605925,39,500,11.7,3249.0,8.1
67,38.602744,39,500,11.2,3249.0,8.1
79,38.602520,39,500,11.0,3241.0,8.1
89,38.603390,39,500,11.0,3241.0,8.1
58,48.670242,49,500,5.5,3224.0,8.1
83,48.671314,49,500,5.4,3216.0,8.1
70,48.681406,49,500,5.4,3216.0,8.1
54,48.684979,49,500,5.3,3216.0,8.1
88,48.678890,49,500,5.2,3216.0,8.1
92,48.683930,49,500,5.3,3216.0,8.1
98,48.689486,49,500,5.4,3216.0,8.1
96,48.689422,49,500,5.5,3216.0,8.1
97,48.692342,49,500,5.9,3216.0,8.1
93,49.316524,49,500,13.0,3212.0,8.0
48,49.993161,50,500,8.4,3213.0,8.0
78,49.973212,50,500,8.1,3213.0,8.0
75,49.993379,50,500,8.0,3206.0,8.0
90,50.005632,50,500,8.0,3197.0,8.0
61,50.549351,51,500,9.3,3197.0,8.0
44,50.551967,51,500,9.3,3198.0,8.0
57,52.430937,53,500,1.6,3202.0,8.0
16,52.464242,53,201,1.3,3202.0,8.0
64,52.440937,53,500,1.2,3202.0,8.0
100,52.446119,53,500,1.0,3202.0,8.0
14,52.464035,53,201,1.1,3202.0,8.0
