Time(s),Delta(s),CPU(%),MEM(MB),MEM(%)
1,0,2.5,528.0,28.5
2,2,3.0,527.0,28.5
3,5,3.0,527.0,28.5
4,7,0.0,525.0,28.4
5,9,0.5,526.0,28.4
6,11,0.0,527.0,28.5
7,13,2.0,527.0,28.5
8,15,2.0,527.0,28.5
9,17,1.0,527.0,28.5
10,19,1.0,527.0,28.5
11,21,0.0,527.0,28.5
12,23,3.5,526.0,28.4
13,25,3.5,528.0,28.5
14,27,1.0,528.0,28.5
15,29,0.0,527.0,28.5
16,31,0.0,528.0,28.5
17,33,2.5,528.0,28.5
18,35,3.5,528.0,28.5
19,37,0.0,528.0,28.5
20,39,0.0,528.0,28.5
21,41,0.5,529.0,28.6
22,43,3.0,528.0,28.5
23,45,2.0,529.0,28.6
24,47,0.0,528.0,28.5
25,49,2.0,527.0,28.5
26,51,2.0,528.0,28.5
27,53,1.5,528.0,28.5
28,55,1.5,529.0,28.6
29,57,0.0,528.0,28.5
30,59,0.0,527.0,28.5
31,61,2.5,528.0,28.5
32,63,2.5,527.0,28.5
33,65,1.5,528.0,28.5
34,67,0.0,527.0,28.5
35,69,0.5,527.0,28.5
36,71,1.5,528.0,28.5
37,73,1.0,526.0,28.4
38,75,2.0,528.0,28.5
39,77,2.0,528.0,28.5
40,79,1.5,526.0,28.4
41,81,1.5,526.0,28.4
42,83,2.5,527.0,28.5
43,85,2.0,529.0,28.6
44,87,1.0,528.0,28.5
45,89,0.5,528.0,28.5
46,91,1.0,528.0,28.5
47,93,2.5,528.0,28.5
48,95,3.0,528.0,28.5
49,97,0.5,527.0,28.5
50,99,1.0,528.0,28.5
51,101,2.0,528.0,28.5
52,103,3.5,528.0,28.5
53,105,2.5,530.0,28.6
54,107,2.0,529.0,28.6
55,109,0.5,529.0,28.6
56,111,0.0,529.0,28.6
57,113,3.5,529.0,28.6
58,115,3.0,530.0,28.6
59,117,0.5,527.0,28.5
60,119,0.5,529.0,28.6
