Request,Time(s),Delta(s),HTTP Status,CPU(%),MEM(MB),MEM(%)
1,0.797948,1,200,1.0,530.0,28.6
2,0.637647,3,200,0.5,530.0,28.6
3,0.601738,4,200,2.0,531.0,28.7
4,0.600607,6,200,0.5,530.0,28.6
5,0.591422,8,200,0.5,531.0,28.7
6,0.599308,9,200,2.0,531.0,28.7
7,0.610173,11,200,1.5,530.0,28.6
8,0.593200,12,200,1.0,530.0,28.6
9,0.599005,14,200,1.5,529.0,28.6
10,0.598123,16,200,1.5,529.0,28.6
11,0.611680,17,200,2.0,529.0,28.6
12,0.600171,19,200,3.0,530.0,28.6
13,0.589103,20,200,1.0,529.0,28.6
14,0.603622,22,200,1.5,529.0,28.6
15,0.614861,24,200,4.1,529.0,28.6
16,0.601960,25,200,1.5,529.0,28.6
17,0.594220,27,200,3.5,528.0,28.5
18,0.590987,29,200,1.5,528.0,28.5
19,0.584060,30,200,1.0,528.0,28.5
20,0.592841,32,200,1.0,528.0,28.5
21,0.598563,33,200,0.5,528.0,28.5
22,0.605822,35,200,1.5,529.0,28.6
23,0.603725,37,200,3.0,529.0,28.6
24,0.586323,38,200,1.0,528.0,28.5
25,0.609013,40,200,0.5,529.0,28.6
26,0.592269,42,200,1.5,535.0,28.9
27,0.610369,43,200,0.5,529.0,28.6
28,0.599657,45,200,1.5,530.0,28.6
29,0.590764,46,200,0.0,530.0,28.6
30,0.615922,48,200,1.0,529.0,28.6
31,0.611579,50,200,1.0,529.0,28.6
32,0.596031,51,200,0.5,529.0,28.6
33,0.612684,53,200,1.0,530.0,28.6
34,0.601841,55,200,2.0,530.0,28.6
35,0.601366,56,200,0.5,530.0,28.6
36,0.600308,58,200,1.0,531.0,28.7
37,0.596524,59,200,2.0,533.0,28.8
38,0.610851,61,200,0.5,532.0,28.7
39,0.607952,63,200,2.5,531.0,28.7
40,0.596287,64,200,2.0,532.0,28.7
41,0.597001,66,200,0.5,530.0,28.6
42,0.603039,68,200,2.0,530.0,28.6
43,0.595512,69,200,2.0,530.0,28.6
44,0.605763,71,200,1.5,530.0,28.6
45,0.599217,72,200,2.0,529.0,28.6
46,0.590981,74,200,2.0,530.0,28.6
47,0.793357,76,200,0.0,530.0,28.6
48,0.590167,77,200,2.5,529.0,28.6
49,0.592075,79,200,2.0,531.0,28.7
50,0.634332,81,200,0.5,530.0,28.6
51,0.596848,82,200,2.5,531.0,28.7
52,0.611218,84,200,1.5,532.0,28.7
53,0.603848,86,200,0.5,531.0,28.7
54,0.598201,87,200,1.5,531.0,28.7
55,0.595780,89,200,1.0,532.0,28.7
56,0.583665,90,200,2.0,531.0,28.7
57,0.598128,92,200,2.0,532.0,28.7
58,0.608696,94,200,5.0,533.0,28.8
59,0.613319,95,200,4.0,532.0,28.7
60,0.598304,97,200,2.0,532.0,28.7
61,0.610039,99,200,1.0,533.0,28.8
62,0.607286,100,200,1.0,532.0,28.7
63,0.585694,102,200,0.0,532.0,28.7
64,0.597259,103,200,0.5,531.0,28.7
65,0.614813,105,200,2.9,533.0,28.8
66,0.616545,107,200,0.5,531.0,28.7
67,0.592275,108,200,0.5,530.0,28.6
68,0.595643,110,200,0.5,532.0,28.7
69,0.604990,112,200,0.5,532.0,28.7
70,0.607322,113,200,1.5,532.0,28.7
71,0.606087,115,200,1.0,532.0,28.7
72,0.592771,116,200,0.0,532.0,28.7
73,0.604882,118,200,0.5,532.0,28.7
74,0.599151,120,200,0.5,532.0,28.7
75,0.604187,121,200,1.0,531.0,28.7
76,0.608417,123,200,2.0,531.0,28.7
77,0.597796,125,200,1.0,533.0,28.8
78,0.617159,126,200,1.5,531.0,28.7
79,0.610959,128,200,2.0,532.0,28.7
80,0.591854,129,200,1.5,533.0,28.8
81,0.601021,131,200,1.0,531.0,28.7
82,0.598590,133,200,2.5,531.0,28.7
83,0.592184,134,200,2.5,534.0,28.8
84,0.601909,136,200,1.5,533.0,28.8
85,0.591372,137,200,4.0,534.0,28.8
86,0.610431,139,200,2.0,534.0,28.8
87,0.600770,141,200,0.0,532.0,28.7
88,0.598799,142,200,2.5,532.0,28.7
89,0.607466,144,200,2.5,532.0,28.7
90,0.604208,146,200,0.5,532.0,28.7
91,0.591768,147,200,1.5,532.0,28.7
92,0.592085,149,200,1.5,533.0,28.8
93,0.596423,150,200,0.0,531.0,28.7
94,0.602742,152,200,0.0,531.0,28.7
95,0.608404,154,200,2.5,532.0,28.7
96,0.596048,155,200,0.0,531.0,28.7
97,0.600166,157,200,1.0,531.0,28.7
98,0.597470,159,200,2.0,533.0,28.8
99,0.598195,160,200,1.0,532.0,28.7
100,0.602064,162,200,1.0,532.0,28.7
