Time(s),Delta(s),CPU(%),MEM(MB),MEM(%)
1,0,0.5,533.0,28.8
2,3,1.0,531.0,28.7
3,5,1.5,532.0,28.7
4,7,3.0,530.0,28.6
5,9,0.5,530.0,28.6
6,11,1.5,531.0,28.7
7,13,0.0,531.0,28.7
8,15,2.5,531.0,28.7
9,17,0.5,531.0,28.7
10,19,0.5,531.0,28.7
11,21,1.0,531.0,28.7
12,23,2.0,531.0,28.7
13,25,2.0,530.0,28.6
14,27,0.5,530.0,28.6
15,29,1.0,530.0,28.6
16,31,1.0,531.0,28.7
17,33,1.0,530.0,28.6
18,35,3.5,531.0,28.7
19,37,1.0,531.0,28.7
20,39,1.0,531.0,28.7
21,41,2.5,531.0,28.7
22,43,1.0,531.0,28.7
23,45,2.0,532.0,28.7
24,47,0.5,531.0,28.7
25,49,0.5,531.0,28.7
26,51,1.0,532.0,28.7
27,53,1.5,533.0,28.8
28,55,2.5,534.0,28.8
29,57,0.5,534.0,28.8
30,59,2.0,533.0,28.8
31,61,2.5,533.0,28.8
32,63,1.0,532.0,28.7
33,65,2.5,532.0,28.7
34,67,0.5,532.0,28.7
35,69,0.5,533.0,28.8
36,71,1.0,533.0,28.8
37,73,0.5,533.0,28.8
38,75,1.5,533.0,28.8
39,77,2.5,534.0,28.8
40,79,2.5,533.0,28.8
41,81,1.0,534.0,28.8
42,83,0.0,534.0,28.8
43,85,3.0,535.0,28.9
44,87,1.0,534.0,28.8
45,89,0.5,534.0,28.8
46,91,1.0,534.0,28.8
47,93,1.0,533.0,28.8
48,95,1.5,534.0,28.8
49,97,0.5,534.0,28.8
50,99,0.5,534.0,28.8
51,101,0.5,533.0,28.8
52,103,0.0,533.0,28.8
53,105,2.5,535.0,28.9
54,107,0.5,534.0,28.8
55,109,1.0,534.0,28.8
56,111,1.0,535.0,28.9
57,113,1.5,535.0,28.9
58,115,2.5,534.0,28.8
59,117,0.0,534.0,28.8
60,119,0.5,534.0,28.8
