Request,Time(s),Delta(s),HTTP Status,CPU(%),MEM(MB),MEM(%)
1,0.707489,1,500,86.9,691.0,37.3
7,0.692338,1,500,87.0,691.0,37.3
12,0.773551,1,500,79.3,687.0,37.1
13,0.770512,1,500,78.5,687.0,37.1
8,0.761836,1,500,78.4,688.0,37.2
14,0.727148,1,500,76.0,687.0,37.1
21,0.760649,1,500,75.5,687.0,37.1
25,0.761626,1,500,75.5,683.0,36.9
24,0.702537,1,500,75.4,684.0,37.0
23,0.734334,1,500,75.4,684.0,37.0
28,0.781924,1,500,75.4,684.0,37.0
36,0.796896,1,500,70.7,677.0,36.6
19,0.808996,1,500,69.7,677.0,36.6
5,0.789618,1,500,69.7,677.0,36.6
33,0.781535,1,500,69.7,677.0,36.6
41,0.789203,1,500,69.7,677.0,36.6
20,0.783270,1,500,69.7,677.0,36.6
34,0.787647,1,500,69.7,678.0,36.6
22,0.817004,1,500,69.7,676.0,36.5
15,0.822360,1,500,69.7,675.0,36.5
35,0.804809,1,500,69.7,674.0,36.4
38,0.822763,1,500,69.3,668.0,36.1
60,0.832563,1,500,69.3,674.0,36.4
4,0.796306,1,500,69.3,668.0,36.1
48,0.911923,1,500,63.9,662.0,35.8
47,0.900504,1,500,63.4,661.0,35.7
11,0.901177,1,500,63.4,661.0,35.7
16,0.910897,1,500,63.4,661.0,35.7
27,0.930038,1,500,62.8,661.0,35.7
3,0.933218,2,500,61.8,659.0,35.6
26,0.950701,2,500,60.3,657.0,35.5
74,0.935580,2,500,54.2,655.0,35.4
51,0.930171,2,500,54.0,654.0,35.3
49,0.881667,2,500,53.7,653.0,35.3
2,0.863585,2,500,54.1,653.0,35.3
81,0.903953,2,500,53.7,653.0,35.3
45,0.961236,2,500,53.7,653.0,35.3
31,0.882876,2,500,53.7,654.0,35.3
53,0.928316,2,500,53.7,654.0,35.3
30,0.904144,2,500,53.7,653.0,35.3
62,0.925162,2,500,53.7,654.0,35.3
40,0.920972,2,500,53.7,654.0,35.3
6,0.952233,2,500,53.7,644.0,34.8
18,0.945563,2,500,51.2,640.0,34.6
52,0.948314,2,500,51.0,640.0,34.6
80,0.915248,2,500,51.0,639.0,34.5
50,0.978138,2,500,51.0,639.0,34.5
67,0.952841,2,500,51.0,639.0,34.5
17,0.959758,2,500,51.0,639.0,34.5
10,0.941000,2,500,51.0,639.0,34.5
37,0.951342,2,500,51.0,638.0,34.5
43,0.895420,2,500,51.0,638.0,34.5
44,1.088654,2,500,51.0,633.0,34.2
46,1.100522,2,500,51.0,627.0,33.9
64,0.895609,2,500,51.0,633.0,34.2
54,0.861456,2,500,51.0,627.0,33.9
96,0.933232,2,500,51.0,627.0,33.9
61,0.884133,2,500,51.0,626.0,33.8
9,0.924268,2,500,51.0,628.0,33.9
71,0.925018,2,500,51.0,626.0,33.8
39,0.882881,2,500,51.0,627.0,33.9
73,0.929328,2,500,51.0,627.0,33.9
55,0.885859,2,500,51.0,627.0,33.9
59,0.924706,2,500,51.0,626.0,33.8
29,0.968055,2,500,51.0,627.0,33.9
65,0.873497,2,500,51.0,628.0,33.9
75,0.912896,2,500,51.0,630.0,34.0
58,0.880420,2,500,51.0,627.0,33.9
32,0.882518,2,500,51.0,626.0,33.8
70,0.928628,2,500,51.0,632.0,34.1
42,0.873148,2,500,51.0,628.0,33.9
57,0.940584,2,500,51.5,629.0,34.0
68,0.896757,2,500,51.0,629.0,34.0
76,0.894996,2,500,51.0,628.0,33.9
56,0.945081,2,500,51.0,624.0,33.7
69,0.924182,2,500,51.0,627.0,33.9
66,0.950497,2,500,51.0,628.0,33.9
63,0.940657,2,500,51.0,620.0,33.5
95,0.994353,2,500,51.0,622.0,33.6
72,0.922614,2,500,51.2,619.0,33.4
85,1.003333,2,500,51.2,612.0,33.1
89,1.004413,2,500,51.2,613.0,33.1
100,1.004610,2,500,51.2,599.0,32.4
86,0.991627,2,500,51.2,594.0,32.1
79,1.023650,2,500,51.2,598.0,32.3
93,0.977808,2,500,51.2,598.0,32.3
91,1.019902,2,500,51.2,591.0,31.9
88,1.002973,2,500,51.2,600.0,32.4
82,0.990920,2,500,51.2,600.0,32.4
83,1.008876,2,500,51.2,594.0,32.1
99,1.045648,2,500,51.2,593.0,32.0
78,1.008777,2,500,51.2,598.0,32.3
77,1.016463,2,500,51.2,591.0,31.9
84,1.016496,2,500,51.2,598.0,32.3
87,1.008509,2,500,51.2,593.0,32.0
98,1.022765,2,500,51.2,598.0,32.3
94,0.981189,2,500,51.2,591.0,31.9
92,0.997871,2,500,51.2,598.0,32.3
90,1.047182,2,500,51.2,590.0,31.9
97,0.986533,2,500,51.2,590.0,31.9
