Request,Time(s),Delta(s),HTTP Status,CPU(%),MEM(MB),MEM(%)
1,5.548393,6,200,1.5,535.0,28.9
2,5.335835,12,200,0.5,534.0,28.8
3,5.379068,19,200,0.0,535.0,28.9
4,5.388787,25,200,0.0,536.0,29.0
5,5.388492,31,200,3.0,536.0,29.0
6,5.366445,38,200,1.0,536.0,29.0
7,5.387341,44,200,0.0,536.0,29.0
8,5.470424,51,200,0.0,538.0,29.1
9,5.397213,57,200,2.5,538.0,29.1
10,5.361830,63,200,0.5,538.0,29.1
11,5.388231,70,200,0.5,538.0,29.1
12,5.368592,76,200,0.5,538.0,29.1
13,5.390044,83,200,3.0,539.0,29.1
14,5.372028,89,200,0.5,539.0,29.1
15,5.394952,95,200,0.5,540.0,29.2
16,5.366175,102,200,0.5,540.0,29.2
17,5.370993,108,200,2.0,540.0,29.2
18,5.388662,115,200,0.0,540.0,29.2
19,5.391307,121,200,0.0,540.0,29.2
20,5.380660,127,200,0.0,541.0,29.2
21,4.465989,133,200,0.5,541.0,29.2
22,5.913769,140,200,1.0,541.0,29.2
23,6.782935,148,200,0.5,541.0,29.2
24,4.427555,153,200,0.5,540.0,29.2
25,5.956217,160,200,0.0,541.0,29.2
26,4.439177,166,200,0.5,541.0,29.2
27,4.462968,171,200,0.0,540.0,29.2
28,5.364750,177,200,0.5,541.0,29.2
29,5.378199,184,200,0.5,542.0,29.3
30,5.385422,190,200,2.0,541.0,29.2
31,6.763853,198,200,0.5,540.0,29.2
32,4.705869,204,200,0.5,542.0,29.3
33,4.476471,209,200,0.5,542.0,29.3
34,4.461355,215,200,0.5,543.0,29.3
35,4.687575,220,200,2.0,542.0,29.3
36,5.387876,227,200,0.5,542.0,29.3
37,7.722324,236,200,0.5,540.0,29.2
38,5.337685,242,200,2.5,542.0,29.3
39,4.498138,247,200,2.6,542.0,29.3
40,4.626440,253,200,2.9,542.0,29.3
41,4.671318,259,200,1.0,542.0,29.3
42,4.368083,264,200,0.5,542.0,29.3
43,4.640190,270,200,1.0,542.0,29.3
44,6.238532,277,200,0.5,542.0,29.3
45,4.412506,283,200,4.0,541.0,29.2
46,4.387175,288,200,2.0,543.0,29.3
47,4.399507,293,200,0.5,543.0,29.3
48,4.657269,299,200,0.5,543.0,29.3
49,4.664462,305,200,1.0,543.0,29.3
50,4.664130,310,200,2.0,543.0,29.3
51,4.671184,316,200,1.5,543.0,29.3
52,5.425773,323,200,0.5,542.0,29.3
53,5.920580,330,200,0.0,542.0,29.3
54,4.400719,335,200,0.0,543.0,29.3
55,4.399643,340,200,1.0,542.0,29.3
56,4.817322,346,200,2.0,542.0,29.3
57,4.644149,352,200,2.0,544.0,29.4
58,4.407629,357,200,0.5,543.0,29.3
59,4.623050,363,200,1.5,543.0,29.3
60,4.603080,369,200,0.5,543.0,29.3
61,4.659778,374,200,1.0,543.0,29.3
62,4.691388,380,200,1.5,543.0,29.3
63,5.389569,386,200,2.0,543.0,29.3
64,4.690842,392,200,2.9,542.0,29.3
65,4.678742,398,200,1.0,542.0,29.3
66,4.794120,404,200,0.5,543.0,29.3
67,4.448991,409,200,1.0,543.0,29.3
68,4.880967,415,200,0.5,543.0,29.3
69,5.419333,421,200,2.5,545.0,29.4
70,6.365913,429,200,1.0,544.0,29.4
71,4.642574,434,200,1.0,542.0,29.3
72,4.511617,440,200,0.0,542.0,29.3
73,4.659630,446,200,0.0,542.0,29.3
74,5.363428,452,200,8.8,542.0,29.3
75,4.398347,457,200,1.5,542.0,29.3
76,4.402827,463,200,0.5,542.0,29.3
77,4.461731,468,200,1.0,542.0,29.3
78,4.701588,474,200,0.5,542.0,29.3
79,4.652390,480,200,1.0,541.0,29.2
80,4.391855,485,200,0.0,542.0,29.3
81,5.386574,492,200,0.5,540.0,29.2
82,4.851178,497,200,1.0,541.0,29.2
83,4.663819,503,200,0.5,541.0,29.2
84,4.683168,509,200,2.0,542.0,29.3
85,5.390984,515,200,1.5,541.0,29.2
86,4.419500,521,200,0.5,541.0,29.2
87,5.367464,527,200,0.5,541.0,29.2
88,5.392471,533,200,0.5,541.0,29.2
89,4.452379,539,200,0.5,543.0,29.3
90,4.393531,544,200,0.5,541.0,29.2
91,5.379767,551,200,2.5,543.0,29.3
92,4.419449,556,200,2.0,542.0,29.3
93,4.422740,562,200,1.5,544.0,29.4
94,4.403907,567,200,0.5,543.0,29.3
95,4.444023,573,200,3.4,543.0,29.3
96,4.418250,578,200,1.0,542.0,29.3
97,4.434952,583,200,1.0,541.0,29.2
98,5.393579,590,200,1.0,542.0,29.3
99,5.364574,596,200,3.0,542.0,29.3
100,4.577233,602,200,3.5,542.0,29.3
